Index,Load_AESO_2030.dat,Load_AVA_2030.dat,Load_AZPS_2030.dat,Load_BANC_2030.dat,Load_BCHA_2030.dat,Load_BPAT_2030.dat,Load_CFE_2030.dat,Load_CHPD_2030.dat,Load_CIPB_2030.dat,Load_CIPV_2030.dat,Load_CISC_2030.dat,Load_CISD_2030.dat,Load_DOPD_2030.dat,Load_EPE_2030.dat,Load_GCPD_2030.dat,Load_IID_2030.dat,Load_IPFE_2030.dat,Load_IPMV_2030.dat,Load_IPTV_2030.dat,Load_LDWP_2030.dat,Load_NEVP_2030.dat,Load_NWMT_2030.dat,Load_PACW_2030.dat,Load_PAID_2030.dat,Load_PAUT_2030.dat,Load_PAWY_2030.dat,Load_PGE_2030.dat,Load_PNM_2030.dat,Load_PSCO_2030.dat,Load_PSEI_2030.dat,Load_SCL_2030.dat,Load_SPPC_2030.dat,Load_SRP_2030.dat,Load_TEPC_2030.dat,Load_TH_Malin_2030.dat,Load_TH_Mead_2030.dat,Load_TH_PV_2030.dat,Load_TIDC_2030.dat,Load_TPWR_2030.dat,Load_VEA_2030.dat,Load_WACM_2030.dat,Load_WALC_2030.dat,Load_WAUW_2030.dat
4463,6390,1765.8868,6664.39447,2610.45285,6541,7185.04416,2060,221.76819,5859.997924,8746.046901,14532.79485,2798.149009,273.12502,1574.3506,888.22448,877.01134,455.8283724,978.6571324,2013.466815,4537.20062,4789.3421,1670.01457,3060.92129,980.3701109,5591.956355,1565.929354,3035.88244,2216.01104,7765.59286,3054.46501,1189.06161,2284.99146,7062.41572,2821.64098,0,0,0,474.13958,577.80321,87.55056648,2941.69429,1620.62681,133.52967
4464,6177,1786.34149,6948.48866,2811.85092,6195,7261.40654,1934,222.22363,6155.253081,9186.715223,15265.02764,2939.133346,276.11205,1569.04153,887.63761,903.69695,459.0869967,985.6533533,2027.86068,4709.1495,4963.461268,1680.18634,3085.07445,988.4524832,5638.05759,1578.839196,3077.19777,2204.51929,7735.71804,3049.49317,1184.39787,2368.063582,7308.6377,2861.46207,0,0,0,503.24522,575.69205,91.96178925,2935.59638,1640.86477,135.90736
4465,6016,1858.30746,7080.18548,3010.9606,5924,7448.2078,1826,238.75403,6567.954226,9802.671682,16288.52648,3136.198143,299.87024,1452.7045,899.98441,906.64229,484.3342331,1039.858816,2139.381761,4760.10732,5010.39605,1758.97373,3074.20084,1009.339555,5757.195856,1612.201779,3169.13748,2213.45732,7534.87701,3063.06981,1160.1968,2390.45613,7337.53538,2862.72224,0,0,0,500.32257,577.62139,98.12769912,2915.47093,1593.58766,143.34555
4466,5946,1859.67041,7173.62957,3222.94371,5800,7581.67324,1747,238.67122,6838.066763,10205.81464,16958.40557,3265.176879,303.82366,1426.98367,893.54015,917.55675,487.4722199,1046.59603,2153.24275,4741.47322,5064.467163,1728.56149,3074.6487,981.0869042,5596.04489,1567.074276,3245.23092,2154.32272,7399.60438,3087.39019,1163.99761,2416.253417,7356.8256,2921.97782,0,0,0,532.77937,573.47987,102.1632817,2859.39244,1642.92942,143.69274
4467,5922,1834.41937,6937.53488,3304.72072,5719,7515.90751,1691,228.66189,6913.449355,10318.32316,17145.3544,3301.172067,302.54351,1407.2657,873.07878,902.91361,480.5391292,1031.710781,2122.61818,4697.9096,4975.876317,1665.38729,3033.93515,941.2629887,5368.892313,1503.464179,3241.23536,2090.24029,7142.87457,3038.95353,1127.60874,2373.986793,7065.88,2874.11969,0,0,0,554.09494,563.80284,103.2895259,2797.86628,1664.13898,138.69537
4468,5925,1737.16076,6600.46222,3330.17523,5729,7448.44955,1645,211.73816,6826.984161,10189.27386,16930.92072,3259.884937,293.01764,1368.15152,854.69401,847.15061,472.7743517,1015.039913,2088.319916,4456.11662,4834.942862,1609.10763,2930.9379,897.0169733,5116.516414,1432.790732,3195.08769,2057.16163,6961.09578,2952.39942,1090.88052,2306.747548,6804.09029,2705.24876,0,0,0,557.34721,560.26739,101.9977035,2732.73213,1618.88235,133.34029
4469,6023,1663.03072,6436.37681,3092.25372,5791,7194.59324,1588,205.06182,6632.677322,9899.270903,16449.03976,3167.103421,278.57196,1306.79556,821.53598,785.13137,442.1069554,949.1974424,1952.857122,4305.10746,4568.668274,1553.56999,2857.91598,860.5193269,4908.336622,1374.493631,3046.89637,1948.25941,6530.05588,2875.11956,1064.05186,2179.708146,6579.74061,2571.63433,0,0,0,542.81087,552.00455,99.09468644,2613.64463,1550.59441,127.65908
4470,6159,1541.50948,6176.6143,2805.86281,6197,6855.39963,1571,193.45846,6246.196587,9322.448407,15490.56754,2982.55887,271.30519,1204.83727,800.78117,720.10413,410.0188793,880.3047922,1811.118958,4076.67988,4261.670018,1475.00932,2703.76902,803.0683086,4580.640395,1282.728047,2873.06863,1805.09145,6034.98753,2788.58995,1045.5714,2033.239512,6239.44518,2473.80848,0,0,0,514.18868,537.78195,93.32051934,2495.97654,1503.27313,121.64119
4471,6467,1420.35238,5912.85854,2483.20048,6763,6433.77977,1666,183.65615,5824.120936,8692.500496,14443.81992,2781.017747,256.89716,1100.28478,777.87075,658.09534,388.3311498,833.7415408,1715.320789,3800.08644,3989.428174,1385.29784,2503.69042,753.8522789,4299.915914,1204.116077,2580.96395,1673.99381,5551.13873,2602.07656,982.58657,1903.353136,5984.74541,2373.55566,0,0,0,476.392,503.33659,87.01455082,2370.35501,1462.07955,116.7806
4472,6800,1297.9988,5605.30778,2242.96035,7160,6032.47688,1779,172.97401,5446.574189,8129.011977,13507.50399,2600.739175,238.81182,1005.96833,755.55849,600.00322,365.5292986,784.7862855,1614.601366,3546.00882,3771.902938,1303.27444,2321.50537,706.5239287,4029.958614,1128.519267,2359.95304,1558.31824,5195.22585,2397.92905,912.81458,1799.572012,5697.66216,2251.22667,0,0,0,442.14425,471.71959,81.37386085,2265.79464,1431.13192,112.46708
